committee	committee_name	industry	industry_name	sector	donations
HADM	House Administration (H)	Q12	Gun Control	Ideological/Single-Issue	0
HADM	House Administration (H)	N16	Textiles	Misc Business	0
HAGR	Agriculture (H)	A01	Crop Production & Basic Processing	Agribusiness	2823067
HAGR	Agriculture (H)	A02	Tobacco	Agribusiness	97518
HAGR	Agriculture (H)	A04	Dairy	Agribusiness	610894
HAGR	Agriculture (H)	A05	Poultry & Eggs	Agribusiness	353243
HAGR	Agriculture (H)	A06	Livestock	Agribusiness	576489
HAGR	Agriculture (H)	A07	Agricultural Services/Products	Agribusiness	2103231
HAGR	Agriculture (H)	A10	Forestry & Forest Products	Agribusiness	476544
HAGR	Agriculture (H)	C01	General Contractors	Construction	520686
HAGR	Agriculture (H)	C02	Home Builders	Construction	252744
HAGR	Agriculture (H)	C03	Special Trade Contractors	Construction	257659
HAGR	Agriculture (H)	C04	Construction Services	Construction	489831
HAGR	Agriculture (H)	C05	Building Materials & Equipment	Construction	489692
HAGR	Agriculture (H)	B01	Printing & Publishing	Communications/Electronics	277851
HAGR	Agriculture (H)	B02	TV/Movies/Music	Communications/Electronics	474219
HAGR	Agriculture (H)	B09	Telecom Services	Communications/Electronics	542335
HAGR	Agriculture (H)	B08	Telephone Utilities	Communications/Electronics	437381
HAGR	Agriculture (H)	B12	Electronics Mfg & Equip	Communications/Electronics	535518
HAGR	Agriculture (H)	B13	Internet	Communications/Electronics	212524
HAGR	Agriculture (H)	D03	Misc Defense	Defense	182139
HAGR	Agriculture (H)	D01	Defense Aerospace	Defense	605601
HAGR	Agriculture (H)	D02	Defense Electronics	Defense	297608
HAGR	Agriculture (H)	E01	Oil & Gas	Energy & Natural Resources	1151490
HAGR	Agriculture (H)	E04	Mining	Energy & Natural Resources	151432
HAGR	Agriculture (H)	E08	Electric Utilities	Energy & Natural Resources	954633
HAGR	Agriculture (H)	E10	Waste Management	Energy & Natural Resources	23177
HAGR	Agriculture (H)	F13	Misc Finance	Finance, Insurance & Real Estate	558357
HAGR	Agriculture (H)	F03	Commercial Banks	Finance, Insurance & Real Estate	1239388
HAGR	Agriculture (H)	F04	Savings & Loans	Finance, Insurance & Real Estate	11756
HAGR	Agriculture (H)	F05	Credit Unions	Finance, Insurance & Real Estate	255602
HAGR	Agriculture (H)	F06	Finance/Credit Companies	Finance, Insurance & Real Estate	283729
HAGR	Agriculture (H)	F07	Securities & Investment	Finance, Insurance & Real Estate	2251702
HAGR	Agriculture (H)	F09	Insurance	Finance, Insurance & Real Estate	1827864
HAGR	Agriculture (H)	F10	Real Estate	Finance, Insurance & Real Estate	2070148
HAGR	Agriculture (H)	F11	Accountants	Finance, Insurance & Real Estate	684045
HAGR	Agriculture (H)	N00	Business Associations	Misc Business	146052
HAGR	Agriculture (H)	A09	Food Processing & Sales	Agribusiness	797153
HAGR	Agriculture (H)	N01	Food & Beverage	Misc Business	628275
HAGR	Agriculture (H)	N02	Beer, Wine & Liquor	Misc Business	626933
HAGR	Agriculture (H)	N03	Retail Sales	Misc Business	776693
HAGR	Agriculture (H)	N04	Misc Services	Misc Business	169884
HAGR	Agriculture (H)	N05	Business Services	Misc Business	732537
HAGR	Agriculture (H)	N06	Recreation/Live Entertainment	Misc Business	105323
