committee	industry	donations
SBAN	C01	597432
SBAN	C02	242453
SBAN	C03	263972
SBAN	C04	455031
SBAN	C05	432700
SBAN	B01	334149
SBAN	B02	822842
SBAN	B09	456180
SBAN	B08	200755
SBAN	B12	965929
SBAN	B13	487978
SBAN	D03	183690
SBAN	D01	563449
SBAN	D02	250740
SBAN	E01	1226718
SBAN	E04	201273
SBAN	E08	818755
SBAN	E10	22891
SBAN	F13	1627259
SBAN	F03	2323218
SBAN	F04	48903
SBAN	F05	165558
SBAN	F06	984027
SBAN	F07	6930972
SBAN	F09	3376910
SBAN	F10	3678901
SBAN	F11	833492
SBAN	N00	133302
SBAN	A09	521211
SBAN	N01	465822
SBAN	N02	482175
SBAN	N03	751990
SBAN	N04	275352
SBAN	N05	904633
SBAN	N06	278266
SBAN	N07	468224
SBAN	H01	1810101
SBAN	H02	820752
SBAN	H03	911041
SBAN	H04	1447131
SBAN	W04	672420
SBAN	Q01	1485510
SBAN	Q02	805162
SBAN	Q03	2106651
SBAN	Q04	99800
SBAN	Q05	1254739
SBAN	Q13	185553
SBAN	Q09	122725
SBAN	Q14	27570
SBAN	Q15	47081
SBAN	Q08	5650
SBAN	Q11	142523
SBAN	K01	4307977
SBAN	K02	1752590
SBAN	P05	34725
SBAN	P04	196339
SBAN	P01	133500
SBAN	P02	112677
SBAN	P03	208592
SBAN	N15	1016942
SBAN	N13	415085
SBAN	N14	149333
SBAN	M01	501122
SBAN	M02	547485
SBAN	M03	195879
SBAN	M04	452193
SBAN	M05	136905
SBAN	N08	350651
SBAN	W06	5410896
SBAN	W03	247584
SBAN	W02	369138
SBAN	W05	35458
SBAN	Q16	92000
SBAN	Q12	0
SBAN	N16	27690
SBUD	A01	1081760
SBUD	A02	192506
SBUD	A04	224174
SBUD	A05	80193
SBUD	A06	201970
SBUD	A07	856331
SBUD	A10	499744
SBUD	C01	1326577
SBUD	C02	330089
SBUD	C03	747678
SBUD	C04	1242786
SBUD	C05	808269
SBUD	B01	1670382
SBUD	B02	2333671
SBUD	B09	819705
SBUD	B08	517945
SBUD	B12	3636487
SBUD	B13	1389398
SBUD	D03	326906
SBUD	D01	641345
SBUD	D02	371846
SBUD	E01	2088796
SBUD	E04	365071
SBUD	E08	1122399
SBUD	E10	86498
SBUD	F13	2724348
SBUD	F03	2176848
SBUD	F04	76525
SBUD	F05	132352
SBUD	F06	584403
SBUD	F07	8838457
SBUD	F09	3613002
SBUD	F10	5522657
SBUD	F11	1090854
SBUD	N00	226526
SBUD	A09	1090316
SBUD	N01	1274542
SBUD	N02	695120
SBUD	N03	1655176
SBUD	N04	849068
SBUD	N05	3068839
SBUD	N06	549716
SBUD	N07	464546
SBUD	H01	5086738
SBUD	H02	2884288
SBUD	H03	1469261
SBUD	H04	2379435
SBUD	W04	7626863
SBUD	Q01	2779017
SBUD	Q02	21434075
SBUD	Q03	3437211
SBUD	Q04	80911
SBUD	Q05	1644933
SBUD	Q13	399803
SBUD	Q09	536112
SBUD	Q14	61956
SBUD	Q15	142660
SBUD	Q08	830565
SBUD	Q11	506922
SBUD	K01	7904510
SBUD	K02	2222235
SBUD	P05	119348
SBUD	P04	201945
SBUD	P01	95055
SBUD	P02	133724
SBUD	P03	222385
SBUD	N15	2401658
SBUD	N13	787941
SBUD	N14	240546
SBUD	M01	1146088
SBUD	M02	1219883
SBUD	M03	485387
SBUD	M04	521768
SBUD	M05	382434
SBUD	N08	716564
SBUD	W06	16420123
SBUD	W03	2744352
SBUD	W02	918999
SBUD	W05	228683
SBUD	Q16	149043
SBUD	Q12	72598
SBUD	N16	144305
SCOM	A01	1626299
SCOM	A02	172059
SCOM	A04	254576
SCOM	A05	77700
SCOM	A06	655962
SCOM	A07	947115
SCOM	A10	293690
SCOM	C01	1876967
SCOM	C02	364949
SCOM	C03	938902
SCOM	C04	1173336
SCOM	C05	911336
SCOM	B01	714341
SCOM	B02	1323214
SCOM	B09	1359595
SCOM	B08	592223
SCOM	B12	1689441
SCOM	B13	582052
SCOM	D03	398775
SCOM	D01	578723
SCOM	D02	511657
SCOM	E01	3348679
SCOM	E04	510678
SCOM	E08	907021
SCOM	E10	72504
SCOM	F13	3140183
SCOM	F03	1737772
SCOM	F04	53044
SCOM	F05	120314
SCOM	F06	438898
SCOM	F07	8521560
SCOM	F09	3147274
SCOM	F10	7774075
SCOM	F11	1217349
SCOM	N00	200615
SCOM	A09	857772
SCOM	N01	1289278
SCOM	N02	674270
SCOM	N03	1329477
SCOM	N04	585791
SCOM	N05	2736083
SCOM	N06	472536
SCOM	N07	514274
SCOM	H01	4552751
SCOM	H02	1544174
SCOM	H03	859491
SCOM	H04	1738252
SCOM	W04	1822711
SCOM	Q01	6469927
SCOM	Q02	150067
SCOM	Q03	3094894
SCOM	Q04	389269
SCOM	Q05	1684682
SCOM	Q13	771064
SCOM	Q09	242335
SCOM	Q14	88185
SCOM	Q15	65498
SCOM	Q08	110969
SCOM	Q11	278937
SCOM	K01	7651383
SCOM	K02	2425950
SCOM	P05	59786
SCOM	P04	269948
SCOM	P01	146391
SCOM	P02	109886
SCOM	P03	317747
SCOM	N15	2184675
SCOM	N13	676810
SCOM	N14	207759
SCOM	M01	1452866
SCOM	M02	1604146
SCOM	M03	694764
SCOM	M04	752287
SCOM	M05	586759
SCOM	N08	827572
SCOM	W06	30203180
SCOM	W03	1238583
SCOM	W02	592049
SCOM	W05	341049
SCOM	Q16	125548
SCOM	Q12	25194
SCOM	N16	87071
SENE	A01	828110
SENE	A02	46515
SENE	A04	133329
SENE	A05	29948
SENE	A06	120687
SENE	A07	511810
SENE	A10	316985
SENE	C01	796193
SENE	C02	220029
SENE	C03	570170
SENE	C04	1004392
SENE	C05	353421
SENE	B01	1367226
SENE	B02	1954713
SENE	B09	544618
SENE	B08	402058
SENE	B12	3043514
SENE	B13	1246905
SENE	D03	220868
SENE	D01	445144
SENE	D02	271427
SENE	E01	1941159
SENE	E04	375382
SENE	E08	1066533
SENE	E10	54583
SENE	F13	1312525
SENE	F03	957917
SENE	F04	28473
SENE	F05	86429
SENE	F06	237172
SENE	F07	3689493
SENE	F09	1903575
SENE	F10	3249451
SENE	F11	743556
SENE	N00	109943
SENE	A09	622863
SENE	N01	896932
SENE	N02	426230
SENE	N03	1162613
SENE	N04	678664
SENE	N05	2237149
SENE	N06	370026
SENE	N07	327724
SENE	H01	3770818
SENE	H02	2342900
SENE	H03	935690
SENE	H04	1460916
SENE	W04	7177720
SENE	Q01	981484
SENE	Q02	21699038
SENE	Q03	1679810
SENE	Q04	107711
SENE	Q05	763422
SENE	Q13	170095
SENE	Q09	450755
SENE	Q14	5441
SENE	Q15	50971
SENE	Q08	383670
SENE	Q11	340062
SENE	K01	4876377
SENE	K02	1273756
SENE	P05	122250
SENE	P04	151529
SENE	P01	87080
SENE	P02	173191
SENE	P03	155856
SENE	N15	1487026
SENE	N13	606957
SENE	N14	148724
SENE	M01	761350
SENE	M02	778205
SENE	M03	195673
SENE	M04	316410
SENE	M05	313193
SENE	N08	537832
SENE	W06	8011601
SENE	W03	2532460
SENE	W02	610769
SENE	W05	211940
SENE	Q16	54623
SENE	Q12	72598
SENE	N16	73743
SENV	A01	556732
SENV	A02	15912
SENV	A04	67610
SENV	A05	37293
SENV	A06	141676
SENV	A07	334607
SENV	A10	213366
SENV	C01	600226
SENV	C02	80113
SENV	C03	473727
SENV	C04	863390
SENV	C05	193003
SENV	B01	1229045
SENV	B02	1674567
SENV	B09	358383
SENV	B08	293411
SENV	B12	2513321
SENV	B13	1016759
SENV	D03	121580
SENV	D01	390501
SENV	D02	177832
SENV	E01	579375
SENV	E04	70114
SENV	E08	458254
SENV	E10	25698
SENV	F13	732057
SENV	F03	815717
SENV	F04	14885
SENV	F05	70285
SENV	F06	274518
SENV	F07	1763426
SENV	F09	1204992
SENV	F10	1835482
SENV	F11	470939
SENV	N00	56649
SENV	A09	373772
SENV	N01	579445
SENV	N02	234983
SENV	N03	753164
SENV	N04	599985
SENV	N05	1794406
SENV	N06	73734
SENV	N07	185264
SENV	H01	3194416
SENV	H02	1606399
SENV	H03	550128
SENV	H04	789893
SENV	W04	6747509
SENV	Q01	73043
SENV	Q02	21052845
SENV	Q03	696499
SENV	Q04	33361
SENV	Q05	263356
SENV	Q13	59994
SENV	Q09	338911
SENV	Q14	3741
SENV	Q15	29268
SENV	Q08	371408
SENV	Q11	223648
SENV	K01	3116783
SENV	K02	607843
SENV	P05	93621
SENV	P04	98374
SENV	P01	57430
SENV	P02	112561
SENV	P03	92855
SENV	N15	591749
SENV	N13	295192
SENV	N14	52571
SENV	M01	484505
SENV	M02	384739
SENV	M03	152141
SENV	M04	369960
SENV	M05	237185
SENV	N08	231564
SENV	W06	4921014
SENV	W03	2382498
SENV	W02	439699
SENV	W05	212974
SENV	Q16	36282
SENV	Q12	72598
SENV	N16	16698
SFIN	A01	1044861
SFIN	A02	388282
SFIN	A04	294924
SFIN	A05	137750
SFIN	A06	253733
SFIN	A07	947546
SFIN	A10	472447
SFIN	C01	1091589
SFIN	C02	484811
SFIN	C03	411480
SFIN	C04	720229
SFIN	C05	856971
SFIN	B01	673456
SFIN	B02	1662539
SFIN	B09	997571
SFIN	B08	452818
SFIN	B12	1878108
SFIN	B13	810862
SFIN	D03	180271
SFIN	D01	594420
SFIN	D02	271203
SFIN	E01	2198898
SFIN	E04	395492
SFIN	E08	1612457
SFIN	E10	56686
SFIN	F13	2866532
SFIN	F03	2595160
SFIN	F04	96543
SFIN	F05	178135
SFIN	F06	917912
SFIN	F07	11012819
SFIN	F09	5251140
SFIN	F10	6540011
SFIN	F11	1337226
SFIN	N00	257091
SFIN	A09	1054835
SFIN	N01	992432
SFIN	N02	852404
SFIN	N03	1692072
SFIN	N04	373364
SFIN	N05	1832467
SFIN	N06	643775
SFIN	N07	518093
SFIN	H01	3699592
SFIN	H02	2162406
SFIN	H03	1857808
SFIN	H04	3259998
SFIN	W04	1403281
SFIN	Q01	1913308
SFIN	Q02	1107128
SFIN	Q03	3950415
SFIN	Q04	188050
SFIN	Q05	1596837
SFIN	Q13	362629
SFIN	Q09	286958
SFIN	Q14	54795
SFIN	Q15	105199
SFIN	Q08	5900
SFIN	Q11	769692
SFIN	K01	8512410
SFIN	K02	3422381
SFIN	P05	51275
SFIN	P04	290188
SFIN	P01	168000
SFIN	P02	95691
SFIN	P03	234545
SFIN	N15	2367069
SFIN	N13	1005490
SFIN	N14	317688
SFIN	M01	997730
SFIN	M02	1184416
SFIN	M03	370997
SFIN	M04	547240
SFIN	M05	301625
SFIN	N08	748077
SFIN	W06	9380868
SFIN	W03	555846
SFIN	W02	797721
SFIN	W05	46703
SFIN	Q16	144150
SFIN	Q12	42027
SFIN	N16	129884
SFOR	A01	788254
SFOR	A02	143916
SFOR	A04	125442
SFOR	A05	87350
SFOR	A06	200701
SFOR	A07	312620
SFOR	A10	179840
SFOR	C01	926689
SFOR	C02	288753
SFOR	C03	448395
SFOR	C04	514345
SFOR	C05	627586
SFOR	B01	459759
SFOR	B02	619868
SFOR	B09	401761
SFOR	B08	184876
SFOR	B12	967258
SFOR	B13	305749
SFOR	D03	181283
SFOR	D01	180298
SFOR	D02	147158
SFOR	E01	1410938
SFOR	E04	275327
SFOR	E08	576863
SFOR	E10	37405
SFOR	F13	1981309
SFOR	F03	938579
SFOR	F04	13621
SFOR	F05	60529
SFOR	F06	222357
SFOR	F07	5337999
SFOR	F09	1793010
SFOR	F10	4759827
SFOR	F11	520129
SFOR	N00	115134
SFOR	A09	511766
SFOR	N01	741451
SFOR	N02	365054
SFOR	N03	802058
SFOR	N04	359415
SFOR	N05	1571516
SFOR	N06	296943
SFOR	N07	128515
SFOR	H01	2632304
SFOR	H02	674976
SFOR	H03	462876
SFOR	H04	949401
SFOR	W04	996202
SFOR	Q01	3066188
SFOR	Q02	154916
SFOR	Q03	1529832
SFOR	Q04	290419
SFOR	Q05	720841
SFOR	Q13	451104
SFOR	Q09	67453
SFOR	Q14	44481
SFOR	Q15	-2250
SFOR	Q08	21169
SFOR	Q11	51286
SFOR	K01	4420407
SFOR	K02	1287357
SFOR	P05	15250
SFOR	P04	47233
SFOR	P01	19000
SFOR	P02	30213
SFOR	P03	30013
SFOR	N15	1188736
SFOR	N13	373458
SFOR	N14	66317
SFOR	M01	590879
SFOR	M02	807654
SFOR	M03	214821
SFOR	M04	228674
SFOR	M05	117002
SFOR	N08	377415
SFOR	W06	15123225
SFOR	W03	479043
SFOR	W02	337659
SFOR	W05	87574
SFOR	Q16	89249
SFOR	Q12	3950
SFOR	N16	57013
SGOV	A01	453517
SGOV	A02	114911
SGOV	A04	149017
SGOV	A05	53350
SGOV	A06	143900
SGOV	A07	345609
SGOV	A10	185715
SGOV	C01	672958
SGOV	C02	295529
SGOV	C03	269062
SGOV	C04	356753
SGOV	C05	596217
SGOV	B01	294691
SGOV	B02	512113
SGOV	B09	494617
SGOV	B08	254407
SGOV	B12	1084553
SGOV	B13	343585
SGOV	D03	209770
SGOV	D01	325885
SGOV	D02	350675
SGOV	E01	1991083
SGOV	E04	357298
SGOV	E08	693792
SGOV	E10	50565
SGOV	F13	1637484
SGOV	F03	1189475
SGOV	F04	40686
SGOV	F05	71478
SGOV	F06	357667
SGOV	F07	5635795
SGOV	F09	2233009
SGOV	F10	3234377
SGOV	F11	562963
SGOV	N00	154299
SGOV	A09	627156
SGOV	N01	674105
SGOV	N02	433315
SGOV	N03	781700
SGOV	N04	268194
SGOV	N05	1045787
SGOV	N06	380091
SGOV	N07	360990
SGOV	H01	1951025
SGOV	H02	729426
SGOV	H03	459487
SGOV	H04	1107161
SGOV	W04	732798
SGOV	Q01	2230527
SGOV	Q02	26345
SGOV	Q03	2522933
SGOV	Q04	56800
SGOV	Q05	1089836
SGOV	Q13	421421
SGOV	Q09	105783
SGOV	Q14	26139
SGOV	Q15	23370
SGOV	Q08	26966
SGOV	Q11	32319
SGOV	K01	3056154
SGOV	K02	1341344
SGOV	P05	22350
SGOV	P04	115696
SGOV	P01	65000
SGOV	P02	28595
SGOV	P03	106051
SGOV	N15	1453146
SGOV	N13	543722
SGOV	N14	168612
SGOV	M01	791986
SGOV	M02	863607
SGOV	M03	323829
SGOV	M04	380044
SGOV	M05	190443
SGOV	N08	434112
SGOV	W06	10223574
SGOV	W03	296299
SGOV	W02	322290
SGOV	W05	30908
SGOV	Q16	104881
SGOV	Q12	0
SGOV	N16	71856
SIND	A01	536834
SIND	A02	46075
SIND	A04	80050
SIND	A05	15900
SIND	A06	165637
SIND	A07	331050
SIND	A10	137111
SIND	C01	318692
SIND	C02	148542
SIND	C03	93958
SIND	C04	333858
SIND	C05	251696
SIND	B01	88046
SIND	B02	405048
SIND	B09	469126
SIND	B08	184313
SIND	B12	402641
SIND	B13	229531
