CID,CRPName,Party,Office,FECCandID,Congress,chamber
N00035391,Walters, Mimi,R,CA45,H4CA45097,House
N00027467,Walz, Timothy J,D,MN01,H6MN01174,House
N00002097,Warner, Mark,D,VAS2,S6VA00093,Sentate
N00033492,Warren, Elizabeth,D,MAS1,S2MA00170,Sentate
N00006690,Waters, Maxine,D,CA43,H4CA23011,House
N00033539,Weber, Randy,R,TX14,H2TX14149,House
N00026335,Webster, Daniel,R,FL10,H0FL08208,House
N00000515,Welch, Peter,D,VT01,H6VT00160,House
N00033310,Wenstrup, Brad,R,OH02,H2OH02085,House
N00035527,Westerman, Bruce,R,AR04,H4AR04048,House
N00026163,Westmoreland, Lynn A,R,GA03,H4GA08067,House
N00027533,Whitehouse, Sheldon,D,RIS1,S6RI00221,Sentate
N00003467,Whitfield, Ed,R,KY01,H4KY01040,House
N00003280,Wicker, Roger,R,MSS2,S8MS00196,Sentate
N00030602,Williams, Roger,R,TX25,H2TX33040,House
N00030650,Wilson, Frederica,D,FL24,H0FL17068,House
N00024809,Wilson, Joe,R,SC02,H2SC02059,House
N00029459,Wittman, Rob,R,VA01,H8VA01147,House
N00031857,Womack, Steve,R,AR03,H0AR03055,House
N00032416,Woodall, Rob,R,GA07,H0GA07133,House
N00007724,Wyden, Ron,D,ORS2,S6OR00110,Sentate
N00028073,Yarmuth, John A,D,KY03,H6KY03124,House
N00031502,Yoder, Kevin,R,KS03,H0KS03137,House
N00033220,Yoho, Ted,R,FL03,H2FL06109,House
N00035509,Young, David,R,IA03,H4IA03115,House
N00007999,Young, Don,R,AK01,H6AK00045,House
N00030670,Young, Todd,R,IN09,S6IN00191,Sentate
N00029404,Zeldin, Lee,R,NY01,H8NY01148,House
N00035616,Zinke, Ryan K,R,MT01,H4MT01041,House
