committee_name	sect_ind	donations
Agriculture, Nutrition and Forestry (S)	Communications/Electronics - TV/Movies/Music	1069444
Agriculture, Nutrition and Forestry (S)	Communications/Electronics - Telecom Services	653500
Agriculture, Nutrition and Forestry (S)	Communications/Electronics - Telephone Utilities	296349
Agriculture, Nutrition and Forestry (S)	Construction - Building Materials & Equipment	228837
Agriculture, Nutrition and Forestry (S)	Construction - Construction Services	337090
Agriculture, Nutrition and Forestry (S)	Construction - General Contractors	362597
Agriculture, Nutrition and Forestry (S)	Construction - Home Builders	169975
Agriculture, Nutrition and Forestry (S)	Construction - Special Trade Contractors	116021
Agriculture, Nutrition and Forestry (S)	Defense - Defense Aerospace	353291
Agriculture, Nutrition and Forestry (S)	Defense - Defense Electronics	186081
Agriculture, Nutrition and Forestry (S)	Defense - Misc Defense	117773
Agriculture, Nutrition and Forestry (S)	Energy & Natural Resources - Electric Utilities	718910
Agriculture, Nutrition and Forestry (S)	Energy & Natural Resources - Mining	136433
Agriculture, Nutrition and Forestry (S)	Energy & Natural Resources - Oil & Gas	1141275
Agriculture, Nutrition and Forestry (S)	Energy & Natural Resources - Waste Management	11386
Agriculture, Nutrition and Forestry (S)	Finance, Insurance & Real Estate - Accountants	434830
Agriculture, Nutrition and Forestry (S)	Finance, Insurance & Real Estate - Commercial Banks	989241
Agriculture, Nutrition and Forestry (S)	Finance, Insurance & Real Estate - Credit Unions	90175
Agriculture, Nutrition and Forestry (S)	Finance, Insurance & Real Estate - Finance/Credit Companies	280007
Agriculture, Nutrition and Forestry (S)	Finance, Insurance & Real Estate - Insurance	1890761
Agriculture, Nutrition and Forestry (S)	Finance, Insurance & Real Estate - Misc Finance	886053
Agriculture, Nutrition and Forestry (S)	Finance, Insurance & Real Estate - Real Estate	2179858
Agriculture, Nutrition and Forestry (S)	Finance, Insurance & Real Estate - Savings & Loans	52058
Agriculture, Nutrition and Forestry (S)	Finance, Insurance & Real Estate - Securities & Investment	3953607
Agriculture, Nutrition and Forestry (S)	Health - Health Professionals	1588474
Agriculture, Nutrition and Forestry (S)	Health - Health Services/HMOs	582151
Agriculture, Nutrition and Forestry (S)	Health - Hospitals/Nursing Homes	765807
Agriculture, Nutrition and Forestry (S)	Health - Pharmaceuticals/Health Products	1258771
Agriculture, Nutrition and Forestry (S)	Ideological/Single-Issue - Abortion Policy/Anti-Abortion	20025
Agriculture, Nutrition and Forestry (S)	Ideological/Single-Issue - Abortion Policy/Pro-Abortion Rights	71508
Agriculture, Nutrition and Forestry (S)	Ideological/Single-Issue - Candidate Committees	45789
Agriculture, Nutrition and Forestry (S)	Ideological/Single-Issue - Democratic/Liberal	987999
Agriculture, Nutrition and Forestry (S)	Ideological/Single-Issue - Environment	521949
Agriculture, Nutrition and Forestry (S)	Ideological/Single-Issue - Foreign & Defense Policy	105950
Agriculture, Nutrition and Forestry (S)	Ideological/Single-Issue - Gun Control	42027
Agriculture, Nutrition and Forestry (S)	Ideological/Single-Issue - Gun Rights	143805
Agriculture, Nutrition and Forestry (S)	Ideological/Single-Issue - Human Rights	163013
Agriculture, Nutrition and Forestry (S)	Ideological/Single-Issue - Leadership PACs	2034475
Agriculture, Nutrition and Forestry (S)	Ideological/Single-Issue - Pro-Israel	600549
Agriculture, Nutrition and Forestry (S)	Ideological/Single-Issue - Republican/Conservative	328708
Agriculture, Nutrition and Forestry (S)	Ideological/Single-Issue - Women's Issues	33374
Agriculture, Nutrition and Forestry (S)	Labor - Building Trade Unions	123500
Agriculture, Nutrition and Forestry (S)	Labor - Industrial Unions	72875
Agriculture, Nutrition and Forestry (S)	Labor - Misc Unions	51801
Agriculture, Nutrition and Forestry (S)	Labor - Public Sector Unions	197435
Agriculture, Nutrition and Forestry (S)	Labor - Transportation Unions	135096
Agriculture, Nutrition and Forestry (S)	Lawyers & Lobbyists - Lawyers/Law Firms	4411988
Agriculture, Nutrition and Forestry (S)	Lawyers & Lobbyists - Lobbyists	1774689
Agriculture, Nutrition and Forestry (S)	Misc Business - Beer, Wine & Liquor	285264
Agriculture, Nutrition and Forestry (S)	Misc Business - Business Associations	79989
Agriculture, Nutrition and Forestry (S)	Misc Business - Business Services	790201
Agriculture, Nutrition and Forestry (S)	Misc Business - Casinos/Gambling	271085
Agriculture, Nutrition and Forestry (S)	Misc Business - Chemical & Related Manufacturing	328823
Agriculture, Nutrition and Forestry (S)	Misc Business - Food & Beverage	374957
Agriculture, Nutrition and Forestry (S)	Misc Business - Lodging/Tourism	285652
Agriculture, Nutrition and Forestry (S)	Misc Business - Misc Manufacturing & Distributing	672328
Agriculture, Nutrition and Forestry (S)	Misc Business - Misc Services	146603
Agriculture, Nutrition and Forestry (S)	Misc Business - Recreation/Live Entertainment	168220
Agriculture, Nutrition and Forestry (S)	Misc Business - Retail Sales	703470
