committee_name	sect_ind	donations
Commerce, Science, and Transportation (S)	Construction - Construction Services	1173336
Commerce, Science, and Transportation (S)	Construction - General Contractors	1876967
Commerce, Science, and Transportation (S)	Construction - Home Builders	364949
Commerce, Science, and Transportation (S)	Construction - Special Trade Contractors	938902
Commerce, Science, and Transportation (S)	Defense - Defense Aerospace	578723
Commerce, Science, and Transportation (S)	Defense - Defense Electronics	511657
Commerce, Science, and Transportation (S)	Defense - Misc Defense	398775
Commerce, Science, and Transportation (S)	Energy & Natural Resources - Electric Utilities	907021
Commerce, Science, and Transportation (S)	Energy & Natural Resources - Mining	510678
Commerce, Science, and Transportation (S)	Energy & Natural Resources - Oil & Gas	3348679
Commerce, Science, and Transportation (S)	Energy & Natural Resources - Waste Management	72504
Commerce, Science, and Transportation (S)	Finance, Insurance & Real Estate - Accountants	1217349
Commerce, Science, and Transportation (S)	Finance, Insurance & Real Estate - Commercial Banks	1737772
Commerce, Science, and Transportation (S)	Finance, Insurance & Real Estate - Credit Unions	120314
Commerce, Science, and Transportation (S)	Finance, Insurance & Real Estate - Finance/Credit Companies	438898
Commerce, Science, and Transportation (S)	Finance, Insurance & Real Estate - Insurance	3147274
Commerce, Science, and Transportation (S)	Finance, Insurance & Real Estate - Misc Finance	3140183
Commerce, Science, and Transportation (S)	Finance, Insurance & Real Estate - Real Estate	7774075
Commerce, Science, and Transportation (S)	Finance, Insurance & Real Estate - Savings & Loans	53044
Commerce, Science, and Transportation (S)	Finance, Insurance & Real Estate - Securities & Investment	8521560
Commerce, Science, and Transportation (S)	Health - Health Professionals	4552751
Commerce, Science, and Transportation (S)	Health - Health Services/HMOs	859491
Commerce, Science, and Transportation (S)	Health - Hospitals/Nursing Homes	1544174
Commerce, Science, and Transportation (S)	Health - Pharmaceuticals/Health Products	1738252
Commerce, Science, and Transportation (S)	Ideological/Single-Issue - Abortion Policy/Anti-Abortion	88185
Commerce, Science, and Transportation (S)	Ideological/Single-Issue - Abortion Policy/Pro-Abortion Rights	65498
Commerce, Science, and Transportation (S)	Ideological/Single-Issue - Candidate Committees	125548
Commerce, Science, and Transportation (S)	Ideological/Single-Issue - Democratic/Liberal	150067
Commerce, Science, and Transportation (S)	Ideological/Single-Issue - Environment	278937
Commerce, Science, and Transportation (S)	Ideological/Single-Issue - Foreign & Defense Policy	389269
Commerce, Science, and Transportation (S)	Ideological/Single-Issue - Gun Control	25194
Commerce, Science, and Transportation (S)	Ideological/Single-Issue - Gun Rights	771064
Commerce, Science, and Transportation (S)	Ideological/Single-Issue - Human Rights	242335
Commerce, Science, and Transportation (S)	Ideological/Single-Issue - Leadership PACs	3094894
Commerce, Science, and Transportation (S)	Ideological/Single-Issue - Pro-Israel	1684682
Commerce, Science, and Transportation (S)	Ideological/Single-Issue - Republican/Conservative	6469927
Commerce, Science, and Transportation (S)	Ideological/Single-Issue - Women's Issues	110969
Commerce, Science, and Transportation (S)	Labor - Building Trade Unions	146391
Commerce, Science, and Transportation (S)	Labor - Industrial Unions	109886
Commerce, Science, and Transportation (S)	Labor - Misc Unions	59786
Commerce, Science, and Transportation (S)	Labor - Public Sector Unions	269948
Commerce, Science, and Transportation (S)	Labor - Transportation Unions	317747
Commerce, Science, and Transportation (S)	Lawyers & Lobbyists - Lawyers/Law Firms	7651383
Commerce, Science, and Transportation (S)	Lawyers & Lobbyists - Lobbyists	2425950
Commerce, Science, and Transportation (S)	Misc Business - Beer, Wine & Liquor	674270
Commerce, Science, and Transportation (S)	Misc Business - Business Associations	200615
Commerce, Science, and Transportation (S)	Misc Business - Business Services	2736083
Commerce, Science, and Transportation (S)	Misc Business - Casinos/Gambling	514274
Commerce, Science, and Transportation (S)	Misc Business - Chemical & Related Manufacturing	676810
Commerce, Science, and Transportation (S)	Misc Business - Food & Beverage	1289278
Commerce, Science, and Transportation (S)	Misc Business - Lodging/Tourism	827572
Commerce, Science, and Transportation (S)	Misc Business - Misc Manufacturing & Distributing	2184675
Commerce, Science, and Transportation (S)	Misc Business - Misc Services	585791
Commerce, Science, and Transportation (S)	Misc Business - Recreation/Live Entertainment	472536
Commerce, Science, and Transportation (S)	Misc Business - Retail Sales	1329477
Commerce, Science, and Transportation (S)	Misc Business - Steel Production	207759
Commerce, Science, and Transportation (S)	Misc Business - Textiles	87071
Commerce, Science, and Transportation (S)	Other - Civil Servants/Public Officials	1238583
Commerce, Science, and Transportation (S)	Other - Clergy & Religious Organizations	341049
Commerce, Science, and Transportation (S)	Other - Education	1822711
Commerce, Science, and Transportation (S)	Other - Non-Profit Institutions	592049
Commerce, Science, and Transportation (S)	Other - Retired	30203180
Commerce, Science, and Transportation (S)	Transportation - Air Transport	1452866
Commerce, Science, and Transportation (S)	Transportation - Automotive	1604146
Commerce, Science, and Transportation (S)	Transportation - Railroads	752287
Commerce, Science, and Transportation (S)	Transportation - Sea Transport	586759
Commerce, Science, and Transportation (S)	Transportation - Trucking	694764
Education and Labor (H)	Agribusiness - Agricultural Services/Products	375573
Education and Labor (H)	Agribusiness - Crop Production & Basic Processing	594821
Education and Labor (H)	Agribusiness - Dairy	128934
Education and Labor (H)	Agribusiness - Food Processing & Sales	362785
Education and Labor (H)	Agribusiness - Forestry & Forest Products	248228
Education and Labor (H)	Agribusiness - Livestock	107984
Education and Labor (H)	Agribusiness - Poultry & Eggs	57100
Education and Labor (H)	Agribusiness - Tobacco	114162
Education and Labor (H)	Communications/Electronics - Electronics Mfg & Equip	489483
Education and Labor (H)	Communications/Electronics - Internet	190400
Education and Labor (H)	Communications/Electronics - Printing & Publishing	145590
Education and Labor (H)	Communications/Electronics - TV/Movies/Music	300556
Education and Labor (H)	Communications/Electronics - Telecom Services	404095
Education and Labor (H)	Communications/Electronics - Telephone Utilities	313903
Education and Labor (H)	Construction - Building Materials & Equipment	513223
Education and Labor (H)	Construction - Construction Services	320054
Education and Labor (H)	Construction - General Contractors	718734
Education and Labor (H)	Construction - Home Builders	236062
Education and Labor (H)	Construction - Special Trade Contractors	302691
Education and Labor (H)	Defense - Defense Aerospace	619110
Education and Labor (H)	Defense - Defense Electronics	384110
Education and Labor (H)	Defense - Misc Defense	341328
Education and Labor (H)	Energy & Natural Resources - Electric Utilities	763780
Education and Labor (H)	Energy & Natural Resources - Mining	196825
Education and Labor (H)	Energy & Natural Resources - Oil & Gas	996954
Education and Labor (H)	Energy & Natural Resources - Waste Management	11935
Education and Labor (H)	Finance, Insurance & Real Estate - Accountants	460176
Education and Labor (H)	Finance, Insurance & Real Estate - Commercial Banks	683520
Education and Labor (H)	Finance, Insurance & Real Estate - Credit Unions	162750
Education and Labor (H)	Finance, Insurance & Real Estate - Finance/Credit Companies	285600
Education and Labor (H)	Finance, Insurance & Real Estate - Insurance	1898748
Education and Labor (H)	Finance, Insurance & Real Estate - Misc Finance	605721
Education and Labor (H)	Finance, Insurance & Real Estate - Real Estate	2103418
Education and Labor (H)	Finance, Insurance & Real Estate - Savings & Loans	25200
Education and Labor (H)	Finance, Insurance & Real Estate - Securities & Investment	2540142
Education and Labor (H)	Health - Health Professionals	2217557
Education and Labor (H)	Health - Health Services/HMOs	440607
Education and Labor (H)	Health - Hospitals/Nursing Homes	406055
Education and Labor (H)	Health - Pharmaceuticals/Health Products	828316
Education and Labor (H)	Ideological/Single-Issue - Abortion Policy/Anti-Abortion	21540
Education and Labor (H)	Ideological/Single-Issue - Abortion Policy/Pro-Abortion Rights	23355
Education and Labor (H)	Ideological/Single-Issue - Candidate Committees	520633
Education and Labor (H)	Ideological/Single-Issue - Democratic/Liberal	166699
Education and Labor (H)	Ideological/Single-Issue - Environment	109202
Education and Labor (H)	Ideological/Single-Issue - Foreign & Defense Policy	174599
Education and Labor (H)	Ideological/Single-Issue - Gun Control	290
Education and Labor (H)	Ideological/Single-Issue - Gun Rights	212393
Education and Labor (H)	Ideological/Single-Issue - Human Rights	130741
Education and Labor (H)	Ideological/Single-Issue - Leadership PACs	2386373
Education and Labor (H)	Ideological/Single-Issue - Pro-Israel	443753
Education and Labor (H)	Ideological/Single-Issue - Republican/Conservative	936064
Education and Labor (H)	Ideological/Single-Issue - Women's Issues	101003
Education and Labor (H)	Labor - Building Trade Unions	567000
Education and Labor (H)	Labor - Industrial Unions	546425
Education and Labor (H)	Labor - Misc Unions	251250
Education and Labor (H)	Labor - Public Sector Unions	717650
Education and Labor (H)	Labor - Transportation Unions	546000
Education and Labor (H)	Lawyers & Lobbyists - Lawyers/Law Firms	1750800
Education and Labor (H)	Lawyers & Lobbyists - Lobbyists	881064
Education and Labor (H)	Misc Business - Beer, Wine & Liquor	445357
Education and Labor (H)	Misc Business - Business Associations	182239
Education and Labor (H)	Misc Business - Business Services	572004
Education and Labor (H)	Misc Business - Casinos/Gambling	617025
Education and Labor (H)	Misc Business - Chemical & Related Manufacturing	230215
Education and Labor (H)	Misc Business - Food & Beverage	614417
Education and Labor (H)	Misc Business - Lodging/Tourism	290448
Education and Labor (H)	Misc Business - Misc Manufacturing & Distributing	760667
Education and Labor (H)	Misc Business - Misc Services	140005
Education and Labor (H)	Misc Business - Recreation/Live Entertainment	218133
Education and Labor (H)	Misc Business - Retail Sales	764562
Education and Labor (H)	Misc Business - Steel Production	120050
Education and Labor (H)	Misc Business - Textiles	26200
Education and Labor (H)	Other - Civil Servants/Public Officials	150618
Education and Labor (H)	Other - Clergy & Religious Organizations	27445
Education and Labor (H)	Other - Education	761601
Education and Labor (H)	Other - Non-Profit Institutions	230417
Education and Labor (H)	Other - Retired	3250261
Education and Labor (H)	Transportation - Air Transport	571876
Education and Labor (H)	Transportation - Automotive	686392
Education and Labor (H)	Transportation - Railroads	364774
Education and Labor (H)	Transportation - Sea Transport	192950
Education and Labor (H)	Transportation - Trucking	212390
Energy and Commerce (H)	Agribusiness - Agricultural Services/Products	642208
Energy and Commerce (H)	Agribusiness - Crop Production & Basic Processing	879596
Energy and Commerce (H)	Agribusiness - Dairy	161050
Energy and Commerce (H)	Agribusiness - Food Processing & Sales	620020
Energy and Commerce (H)	Agribusiness - Forestry & Forest Products	434052
Energy and Commerce (H)	Agribusiness - Livestock	234116
Energy and Commerce (H)	Agribusiness - Poultry & Eggs	100350
Energy and Commerce (H)	Agribusiness - Tobacco	201311
Energy and Commerce (H)	Communications/Electronics - Electronics Mfg & Equip	1013538
Energy and Commerce (H)	Communications/Electronics - Internet	625203
Energy and Commerce (H)	Communications/Electronics - Printing & Publishing	142791
Energy and Commerce (H)	Communications/Electronics - TV/Movies/Music	1446000
Energy and Commerce (H)	Communications/Electronics - Telecom Services	2520730
Energy and Commerce (H)	Communications/Electronics - Telephone Utilities	1235595
Energy and Commerce (H)	Construction - Building Materials & Equipment	611036
Energy and Commerce (H)	Construction - Construction Services	532096
Energy and Commerce (H)	Construction - General Contractors	532176
Energy and Commerce (H)	Construction - Home Builders	307873
Energy and Commerce (H)	Construction - Special Trade Contractors	304793
Energy and Commerce (H)	Defense - Defense Aerospace	884776
Energy and Commerce (H)	Defense - Defense Electronics	241619
Energy and Commerce (H)	Defense - Misc Defense	132630
Energy and Commerce (H)	Energy & Natural Resources - Electric Utilities	2978563
Energy and Commerce (H)	Energy & Natural Resources - Mining	384000
Energy and Commerce (H)	Energy & Natural Resources - Oil & Gas	3652215
Energy and Commerce (H)	Energy & Natural Resources - Waste Management	23621
Energy and Commerce (H)	Finance, Insurance & Real Estate - Accountants	848649
Energy and Commerce (H)	Finance, Insurance & Real Estate - Commercial Banks	892689
Energy and Commerce (H)	Finance, Insurance & Real Estate - Credit Unions	227376
Energy and Commerce (H)	Finance, Insurance & Real Estate - Finance/Credit Companies	279225
Energy and Commerce (H)	Finance, Insurance & Real Estate - Insurance	2414118
Energy and Commerce (H)	Finance, Insurance & Real Estate - Misc Finance	785370
Energy and Commerce (H)	Finance, Insurance & Real Estate - Real Estate	2560406
Energy and Commerce (H)	Finance, Insurance & Real Estate - Savings & Loans	27075
Energy and Commerce (H)	Finance, Insurance & Real Estate - Securities & Investment	1896231
Energy and Commerce (H)	Health - Health Professionals	6466799
Energy and Commerce (H)	Health - Health Services/HMOs	1748396
Energy and Commerce (H)	Health - Hospitals/Nursing Homes	1083604
Energy and Commerce (H)	Health - Pharmaceuticals/Health Products	4891598
Energy and Commerce (H)	Ideological/Single-Issue - Abortion Policy/Anti-Abortion	24300
Energy and Commerce (H)	Ideological/Single-Issue - Abortion Policy/Pro-Abortion Rights	72714
Energy and Commerce (H)	Ideological/Single-Issue - Candidate Committees	304036
Energy and Commerce (H)	Ideological/Single-Issue - Democratic/Liberal	316380
Energy and Commerce (H)	Ideological/Single-Issue - Environment	174154
Energy and Commerce (H)	Ideological/Single-Issue - Foreign & Defense Policy	67750
Energy and Commerce (H)	Ideological/Single-Issue - Gun Control	1290
Energy and Commerce (H)	Ideological/Single-Issue - Gun Rights	239790
Energy and Commerce (H)	Ideological/Single-Issue - Human Rights	221541
Energy and Commerce (H)	Ideological/Single-Issue - Leadership PACs	1233858
Energy and Commerce (H)	Ideological/Single-Issue - Pro-Israel	623989
Energy and Commerce (H)	Ideological/Single-Issue - Republican/Conservative	370488
Energy and Commerce (H)	Ideological/Single-Issue - Women's Issues	33825
Energy and Commerce (H)	Labor - Building Trade Unions	1070650
Energy and Commerce (H)	Labor - Industrial Unions	815110
Energy and Commerce (H)	Labor - Misc Unions	251751
Energy and Commerce (H)	Labor - Public Sector Unions	888800
Energy and Commerce (H)	Labor - Transportation Unions	770250
Energy and Commerce (H)	Lawyers & Lobbyists - Lawyers/Law Firms	3239056
Energy and Commerce (H)	Lawyers & Lobbyists - Lobbyists	1900230
Energy and Commerce (H)	Misc Business - Beer, Wine & Liquor	841443
Energy and Commerce (H)	Misc Business - Business Associations	148350
Energy and Commerce (H)	Misc Business - Business Services	672352
Energy and Commerce (H)	Misc Business - Casinos/Gambling	479370
Energy and Commerce (H)	Misc Business - Chemical & Related Manufacturing	1215300
Energy and Commerce (H)	Misc Business - Food & Beverage	683910
Energy and Commerce (H)	Misc Business - Lodging/Tourism	355240
Energy and Commerce (H)	Misc Business - Misc Manufacturing & Distributing	955654
Energy and Commerce (H)	Misc Business - Misc Services	173014
Energy and Commerce (H)	Misc Business - Recreation/Live Entertainment	389400
Energy and Commerce (H)	Misc Business - Retail Sales	1289535
Energy and Commerce (H)	Misc Business - Steel Production	133825
Energy and Commerce (H)	Misc Business - Textiles	45333
Energy and Commerce (H)	Other - Civil Servants/Public Officials	190775
Energy and Commerce (H)	Other - Clergy & Religious Organizations	29985
Energy and Commerce (H)	Other - Education	586142
Energy and Commerce (H)	Other - Non-Profit Institutions	231443
Energy and Commerce (H)	Other - Retired	2701375
Energy and Commerce (H)	Transportation - Air Transport	640864
Energy and Commerce (H)	Transportation - Automotive	1535834
Energy and Commerce (H)	Transportation - Railroads	632344
Energy and Commerce (H)	Transportation - Sea Transport	222451
Energy and Commerce (H)	Transportation - Trucking	112884
Energy and Natural Resources (S)	Agribusiness - Agricultural Services/Products	511810
Energy and Natural Resources (S)	Agribusiness - Crop Production & Basic Processing	828110
Energy and Natural Resources (S)	Agribusiness - Dairy	133329
Energy and Natural Resources (S)	Agribusiness - Food Processing & Sales	622863
Energy and Natural Resources (S)	Agribusiness - Forestry & Forest Products	316985
Energy and Natural Resources (S)	Agribusiness - Livestock	120687
Energy and Natural Resources (S)	Agribusiness - Poultry & Eggs	29948
Energy and Natural Resources (S)	Agribusiness - Tobacco	46515
Energy and Natural Resources (S)	Communications/Electronics - Electronics Mfg & Equip	3043514
Energy and Natural Resources (S)	Communications/Electronics - Internet	1246905
Energy and Natural Resources (S)	Communications/Electronics - Printing & Publishing	1367226
Energy and Natural Resources (S)	Communications/Electronics - TV/Movies/Music	1954713
Energy and Natural Resources (S)	Communications/Electronics - Telecom Services	544618
Energy and Natural Resources (S)	Communications/Electronics - Telephone Utilities	402058
Energy and Natural Resources (S)	Construction - Building Materials & Equipment	353421
Energy and Natural Resources (S)	Construction - Construction Services	1004392
Energy and Natural Resources (S)	Construction - General Contractors	796193
Energy and Natural Resources (S)	Construction - Home Builders	220029
Energy and Natural Resources (S)	Construction - Special Trade Contractors	570170
Energy and Natural Resources (S)	Defense - Defense Aerospace	445144
Energy and Natural Resources (S)	Defense - Defense Electronics	271427
Energy and Natural Resources (S)	Defense - Misc Defense	220868
Energy and Natural Resources (S)	Energy & Natural Resources - Electric Utilities	1066533
Energy and Natural Resources (S)	Energy & Natural Resources - Mining	375382
Energy and Natural Resources (S)	Energy & Natural Resources - Oil & Gas	1941159
Energy and Natural Resources (S)	Energy & Natural Resources - Waste Management	54583
Energy and Natural Resources (S)	Finance, Insurance & Real Estate - Accountants	743556
Energy and Natural Resources (S)	Finance, Insurance & Real Estate - Commercial Banks	957917
Energy and Natural Resources (S)	Finance, Insurance & Real Estate - Credit Unions	86429
Energy and Natural Resources (S)	Finance, Insurance & Real Estate - Finance/Credit Companies	237172
Energy and Natural Resources (S)	Finance, Insurance & Real Estate - Insurance	1903575
Energy and Natural Resources (S)	Finance, Insurance & Real Estate - Misc Finance	1312525
Energy and Natural Resources (S)	Finance, Insurance & Real Estate - Real Estate	3249451
Energy and Natural Resources (S)	Finance, Insurance & Real Estate - Savings & Loans	28473
Energy and Natural Resources (S)	Finance, Insurance & Real Estate - Securities & Investment	3689493
Energy and Natural Resources (S)	Health - Health Professionals	3770818
Energy and Natural Resources (S)	Health - Health Services/HMOs	935690
Energy and Natural Resources (S)	Health - Hospitals/Nursing Homes	2342900
Energy and Natural Resources (S)	Health - Pharmaceuticals/Health Products	1460916
Energy and Natural Resources (S)	Ideological/Single-Issue - Abortion Policy/Anti-Abortion	5441
Energy and Natural Resources (S)	Ideological/Single-Issue - Abortion Policy/Pro-Abortion Rights	50971
Energy and Natural Resources (S)	Ideological/Single-Issue - Candidate Committees	54623
Energy and Natural Resources (S)	Ideological/Single-Issue - Democratic/Liberal	21699038
Energy and Natural Resources (S)	Ideological/Single-Issue - Environment	340062
Energy and Natural Resources (S)	Ideological/Single-Issue - Foreign & Defense Policy	107711
Energy and Natural Resources (S)	Ideological/Single-Issue - Gun Control	72598
Energy and Natural Resources (S)	Ideological/Single-Issue - Gun Rights	170095
Energy and Natural Resources (S)	Ideological/Single-Issue - Human Rights	450755
Energy and Natural Resources (S)	Ideological/Single-Issue - Leadership PACs	1679810
Energy and Natural Resources (S)	Ideological/Single-Issue - Pro-Israel	763422
Energy and Natural Resources (S)	Ideological/Single-Issue - Republican/Conservative	981484
Energy and Natural Resources (S)	Ideological/Single-Issue - Women's Issues	383670
Energy and Natural Resources (S)	Labor - Building Trade Unions	87080
Energy and Natural Resources (S)	Labor - Industrial Unions	173191
Energy and Natural Resources (S)	Labor - Misc Unions	122250
Energy and Natural Resources (S)	Labor - Public Sector Unions	151529
Energy and Natural Resources (S)	Labor - Transportation Unions	155856
Energy and Natural Resources (S)	Lawyers & Lobbyists - Lawyers/Law Firms	4876377
Energy and Natural Resources (S)	Lawyers & Lobbyists - Lobbyists	1273756
Energy and Natural Resources (S)	Misc Business - Beer, Wine & Liquor	426230
Energy and Natural Resources (S)	Misc Business - Business Associations	109943
Energy and Natural Resources (S)	Misc Business - Business Services	2237149
Energy and Natural Resources (S)	Misc Business - Casinos/Gambling	327724
Energy and Natural Resources (S)	Misc Business - Chemical & Related Manufacturing	606957
Energy and Natural Resources (S)	Misc Business - Food & Beverage	896932
Energy and Natural Resources (S)	Misc Business - Lodging/Tourism	537832
Energy and Natural Resources (S)	Misc Business - Misc Manufacturing & Distributing	1487026
Energy and Natural Resources (S)	Misc Business - Misc Services	678664
Energy and Natural Resources (S)	Misc Business - Recreation/Live Entertainment	370026
Energy and Natural Resources (S)	Misc Business - Retail Sales	1162613
Energy and Natural Resources (S)	Misc Business - Steel Production	148724
Energy and Natural Resources (S)	Misc Business - Textiles	73743
Energy and Natural Resources (S)	Other - Civil Servants/Public Officials	2532460
Energy and Natural Resources (S)	Other - Clergy & Religious Organizations	211940
Energy and Natural Resources (S)	Other - Education	7177720
Energy and Natural Resources (S)	Other - Non-Profit Institutions	610769
Energy and Natural Resources (S)	Other - Retired	8011601
Energy and Natural Resources (S)	Transportation - Air Transport	761350
Energy and Natural Resources (S)	Transportation - Automotive	778205
Energy and Natural Resources (S)	Transportation - Railroads	316410
Energy and Natural Resources (S)	Transportation - Sea Transport	313193
Energy and Natural Resources (S)	Transportation - Trucking	195673
Environment and Public Works (S)	Agribusiness - Agricultural Services/Products	334607
Environment and Public Works (S)	Agribusiness - Crop Production & Basic Processing	556732
Environment and Public Works (S)	Agribusiness - Dairy	67610
Environment and Public Works (S)	Agribusiness - Food Processing & Sales	373772
Environment and Public Works (S)	Agribusiness - Forestry & Forest Products	213366
Environment and Public Works (S)	Agribusiness - Livestock	141676
Environment and Public Works (S)	Agribusiness - Poultry & Eggs	37293
Environment and Public Works (S)	Agribusiness - Tobacco	15912
Environment and Public Works (S)	Communications/Electronics - Electronics Mfg & Equip	2513321
Environment and Public Works (S)	Communications/Electronics - Internet	1016759
Environment and Public Works (S)	Communications/Electronics - Printing & Publishing	1229045
Environment and Public Works (S)	Communications/Electronics - TV/Movies/Music	1674567
Environment and Public Works (S)	Communications/Electronics - Telecom Services	358383
Environment and Public Works (S)	Communications/Electronics - Telephone Utilities	293411
Environment and Public Works (S)	Construction - Building Materials & Equipment	193003
Environment and Public Works (S)	Construction - Construction Services	863390
Environment and Public Works (S)	Construction - General Contractors	600226
Environment and Public Works (S)	Construction - Home Builders	80113
Environment and Public Works (S)	Construction - Special Trade Contractors	473727
Environment and Public Works (S)	Defense - Defense Aerospace	390501
Environment and Public Works (S)	Defense - Defense Electronics	177832
Environment and Public Works (S)	Defense - Misc Defense	121580
Environment and Public Works (S)	Energy & Natural Resources - Electric Utilities	458254
Environment and Public Works (S)	Energy & Natural Resources - Mining	70114
Environment and Public Works (S)	Energy & Natural Resources - Oil & Gas	579375
Environment and Public Works (S)	Energy & Natural Resources - Waste Management	25698
Environment and Public Works (S)	Finance, Insurance & Real Estate - Accountants	470939
Environment and Public Works (S)	Finance, Insurance & Real Estate - Commercial Banks	815717
Environment and Public Works (S)	Finance, Insurance & Real Estate - Credit Unions	70285
Environment and Public Works (S)	Finance, Insurance & Real Estate - Finance/Credit Companies	274518
Environment and Public Works (S)	Finance, Insurance & Real Estate - Insurance	1204992
Environment and Public Works (S)	Finance, Insurance & Real Estate - Misc Finance	732057
Environment and Public Works (S)	Finance, Insurance & Real Estate - Real Estate	1835482
Environment and Public Works (S)	Finance, Insurance & Real Estate - Savings & Loans	14885
Environment and Public Works (S)	Finance, Insurance & Real Estate - Securities & Investment	1763426
Environment and Public Works (S)	Health - Health Professionals	3194416
Environment and Public Works (S)	Health - Health Services/HMOs	550128
Environment and Public Works (S)	Health - Hospitals/Nursing Homes	1606399
Environment and Public Works (S)	Health - Pharmaceuticals/Health Products	789893
Environment and Public Works (S)	Ideological/Single-Issue - Abortion Policy/Anti-Abortion	3741
Environment and Public Works (S)	Ideological/Single-Issue - Abortion Policy/Pro-Abortion Rights	29268
Environment and Public Works (S)	Ideological/Single-Issue - Candidate Committees	36282
Environment and Public Works (S)	Ideological/Single-Issue - Democratic/Liberal	21052845
Environment and Public Works (S)	Ideological/Single-Issue - Environment	223648
Environment and Public Works (S)	Ideological/Single-Issue - Foreign & Defense Policy	33361
Environment and Public Works (S)	Ideological/Single-Issue - Gun Control	72598
Environment and Public Works (S)	Ideological/Single-Issue - Gun Rights	59994
Environment and Public Works (S)	Ideological/Single-Issue - Human Rights	338911
Environment and Public Works (S)	Ideological/Single-Issue - Leadership PACs	696499
Environment and Public Works (S)	Ideological/Single-Issue - Pro-Israel	263356
Environment and Public Works (S)	Ideological/Single-Issue - Republican/Conservative	73043
Environment and Public Works (S)	Ideological/Single-Issue - Women's Issues	371408
Environment and Public Works (S)	Labor - Building Trade Unions	57430
Environment and Public Works (S)	Labor - Industrial Unions	112561
Environment and Public Works (S)	Labor - Misc Unions	93621
Environment and Public Works (S)	Labor - Public Sector Unions	98374
Environment and Public Works (S)	Labor - Transportation Unions	92855
Environment and Public Works (S)	Lawyers & Lobbyists - Lawyers/Law Firms	3116783
Environment and Public Works (S)	Lawyers & Lobbyists - Lobbyists	607843
Environment and Public Works (S)	Misc Business - Beer, Wine & Liquor	234983
Environment and Public Works (S)	Misc Business - Business Associations	56649
Environment and Public Works (S)	Misc Business - Business Services	1794406
Environment and Public Works (S)	Misc Business - Casinos/Gambling	185264
Environment and Public Works (S)	Misc Business - Chemical & Related Manufacturing	295192
Environment and Public Works (S)	Misc Business - Food & Beverage	579445
Environment and Public Works (S)	Misc Business - Lodging/Tourism	231564
Environment and Public Works (S)	Misc Business - Misc Manufacturing & Distributing	591749
Environment and Public Works (S)	Misc Business - Misc Services	599985
Environment and Public Works (S)	Misc Business - Recreation/Live Entertainment	73734
Environment and Public Works (S)	Misc Business - Retail Sales	753164
Environment and Public Works (S)	Misc Business - Steel Production	52571
Environment and Public Works (S)	Misc Business - Textiles	16698
Environment and Public Works (S)	Other - Civil Servants/Public Officials	2382498
Environment and Public Works (S)	Other - Clergy & Religious Organizations	212974
Environment and Public Works (S)	Other - Education	6747509
Environment and Public Works (S)	Other - Non-Profit Institutions	439699
Environment and Public Works (S)	Other - Retired	4921014
Environment and Public Works (S)	Transportation - Air Transport	484505
Environment and Public Works (S)	Transportation - Automotive	384739
Environment and Public Works (S)	Transportation - Railroads	369960
Environment and Public Works (S)	Transportation - Sea Transport	237185
Environment and Public Works (S)	Transportation - Trucking	152141
Finance (S)	Agribusiness - Agricultural Services/Products	947546
Finance (S)	Agribusiness - Crop Production & Basic Processing	1044861
Finance (S)	Agribusiness - Dairy	294924
Finance (S)	Agribusiness - Food Processing & Sales	1054835
Finance (S)	Agribusiness - Forestry & Forest Products	472447
Finance (S)	Agribusiness - Livestock	253733
Finance (S)	Agribusiness - Poultry & Eggs	137750
Finance (S)	Agribusiness - Tobacco	388282
Finance (S)	Communications/Electronics - Electronics Mfg & Equip	1878108
Finance (S)	Communications/Electronics - Internet	810862
Finance (S)	Communications/Electronics - Printing & Publishing	673456
Finance (S)	Communications/Electronics - TV/Movies/Music	1662539
Finance (S)	Communications/Electronics - Telecom Services	997571
Finance (S)	Communications/Electronics - Telephone Utilities	452818
Finance (S)	Construction - Building Materials & Equipment	856971
Finance (S)	Construction - Construction Services	720229
Finance (S)	Construction - General Contractors	1091589
Finance (S)	Construction - Home Builders	484811
Finance (S)	Construction - Special Trade Contractors	411480
Finance (S)	Defense - Defense Aerospace	594420
Finance (S)	Defense - Defense Electronics	271203
Finance (S)	Defense - Misc Defense	180271
Finance (S)	Energy & Natural Resources - Electric Utilities	1612457
Finance (S)	Energy & Natural Resources - Mining	395492
Finance (S)	Energy & Natural Resources - Oil & Gas	2198898
Finance (S)	Energy & Natural Resources - Waste Management	56686
Finance (S)	Finance, Insurance & Real Estate - Accountants	1337226
Finance (S)	Finance, Insurance & Real Estate - Commercial Banks	2595160
Finance (S)	Finance, Insurance & Real Estate - Credit Unions	178135
Finance (S)	Finance, Insurance & Real Estate - Finance/Credit Companies	917912
Finance (S)	Finance, Insurance & Real Estate - Insurance	5251140
Finance (S)	Finance, Insurance & Real Estate - Misc Finance	2866532
Finance (S)	Finance, Insurance & Real Estate - Real Estate	6540011
Finance (S)	Finance, Insurance & Real Estate - Savings & Loans	96543
Finance (S)	Finance, Insurance & Real Estate - Securities & Investment	11012819
Finance (S)	Health - Health Professionals	3699592
Finance (S)	Health - Health Services/HMOs	1857808
Finance (S)	Health - Hospitals/Nursing Homes	2162406
Finance (S)	Health - Pharmaceuticals/Health Products	3259998
Finance (S)	Ideological/Single-Issue - Abortion Policy/Anti-Abortion	54795
